MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.02344	s	12/20/2016 1:19:06 PM
Axial Displacement	Axial Displacement Error	Axial Extensometer	Axial Extensometer Abs. Error	Axial Force	Axial Force Abs. Error	Running Time	Time
mm	mm	mm/mm	mm/mm	N	N	s	s
-0.00094175339	0.00026244321	-0.00014624929	0	683.10748	0	9.0664063	9.0849609
-0.00031709671	-0.00036221347	-0.00013045392	0	681.45721	0	9.1660156	9.1845703
-0.00016450882	-0.00051480136	-0.00024975961	0	681.38538	0	9.265625	9.2841797
-0.00095129013	0.00027197995	-8.4440398e-05	0	681.76294	0	9.3652344	9.3837891
-0.0012755394	0.00059622922	-0.00023506364	0	681.19714	0	9.4648438	9.4833984
-0.0012731552	0.00059384503	5.2683026e-05	0	683.26459	0	9.5644531	9.5830078
-0.00063419342	-4.5116758e-05	-0.00019712606	0	683.75537	0	9.6640625	9.6826172
-0.00060081482	-7.8495359e-05	-9.7108204e-05	0	681.34503	0	9.7636719	9.7822266
-0.00090837479	0.00022906461	8.4007115e-05	0	678.93005	0	9.8632813	9.8818359
-0.0013113022	0.00063199201	-0.00026768359	0	668.12122	0	9.9628906	9.9814453
-0.0014591217	0.0021795512	-6.6101711e-05	0	665.15656	0	10.0625	10.081055
-0.0004863739	0.0045271162	-0.00012578457	0	677.02411	0	10.162109	10.180664
0.0024366379	0.004924417	-0.00013652352	0	778.3233	0	10.261719	10.280273
0.007379055	0.0033023125	-2.177585e-05	0	888.79004	0	10.361328	10.379883
0.010538101	0.0034635793	-6.9497764e-05	0	977.89746	0	10.460938	10.479492
0.013668537	0.0036534555	8.5368811e-06	0	1050.1171	0	10.560547	10.579102
0.016515255	0.0041270498	-6.3214611e-05	0	1142.5793	0	10.660156	10.678711
0.020928383	0.0030342359	-1.2533201e-05	0	1250.8723	0	10.759766	10.77832
0.024211407	0.0030715242	-2.233719e-07	0	1355.1842	0	10.859375	10.87793
0.028614998	0.0019882452	-7.1939576e-05	0	1457.4027	0	10.958984	10.977539
0.031344891	0.0025786646	4.6831701e-05	0	1565.1471	0	11.058594	11.077148
0.035390854	0.0018530153	-9.3732524e-06	0	1686.615	0	11.158203	11.176758
0.039916039	0.00064814463	0.00013529934	0	1797.0636	0	11.257813	11.276367
0.043046474	0.00083801895	0.00016225786	0	1893.717	0	11.357422	11.375977
0.046360493	0.00084431469	3.6609345e-05	0	1999.2695	0	11.457031	11.475586
0.050222874	0.0003022477	0.00017799066	0	2106.0007	0	11.556641	11.575195
0.053613186	0.00023224577	0.00012612545	0	2207.4097	0	11.65625	11.674805
0.057177544	-1.1797994e-05	6.1348692e-05	0	2304.6045	0	11.755859	11.774414
0.060589314	-0.0001032576	0.00012862838	0	2395.9941	0	11.855469	11.874023
0.0629282	0.00087817013	0.00021478627	0	2484.3762	0	11.955078	11.973633
0.066292286	0.00083439797	0.00020321568	0	2568.5757	0	12.054688	12.073242
0.068278313	0.0021686852	0.00029788096	0	2654.3049	0	12.154297	12.172852
0.071349144	0.0024181679	0.00027420538	0	2737.2825	0	12.253906	12.272461
0.075244904	0.0018427148	0.00040723424	0	2827.0205	0	12.353516	12.37207
0.078620911	0.0017870218	0.00035107441	0	2930.5425	0	12.453125	12.47168
0.081961155	0.0017670915	0.00022938621	0	3046.771	0	12.552734	12.571289
0.086066723	0.00098183751	0.00048610527	0	3175.1758	0	12.652344	12.670898
0.089795589	0.00057328492	0.00030258269	0	3288.9492	0	12.751953	12.770508
0.093448162	0.00024101883	0.00043751241	0	3390.1646	0	12.851563	12.870117
0.096640587	0.00036890805	0.00050819182	0	3480.8616	0	12.951172	12.969727
0.099205971	0.0011238381	0.00035471603	0	3568.8594	0	13.050781	13.069336
0.10196924	0.0016808808	0.00053844816	0	3654.261	0	13.150391	13.168945
0.10506868	0.0019017532	0.00040551642	0	3746.7368	0	13.25	13.268555
0.10920286	0.0010878891	0.00045645938	0	3871.2454	0	13.349609	13.368164
0.114007	-0.00039593875	0.00038199432	0	4009.2834	0	13.449219	13.467773
0.11763811	-0.00070673972	0.00063712907	0	4126.4058	0	13.548828	13.567383
0.12063265	-0.00038096309	0.00057000655	0	4223.3955	0	13.648438	13.666992
0.12297392	0.00059808046	0.00063749938	0	4315.2515	0	13.748047	13.766602
0.12602329	0.00086902082	0.00057815015	0	4402.7813	0	13.847656	13.866211
0.12891531	0.00129731	0.0005946309	0	4481.2095	0	13.947266	13.96582
0.13198853	0.001544416	0.00052400935	0	4564.8325	0	14.046875	14.06543
0.13542414	0.0014291108	0.00060768763	0	4678.5347	0	14.146484	14.165039
0.13921499	0.0009585619	0.00063143997	0	4800.6929	0	14.246094	14.264648
0.14271259	0.00078128278	0.00066822034	0	4911.1289	0	14.345703	14.364258
0.14567852	0.0011356622	0.00065467757	0	5012.6943	0	14.445313	14.463867
0.14976501	0.00036948919	0.00073976768	0	5110.5996	0	14.544922	14.563477
0.15237093	0.0010838807	0.00058362237	0	5207.2861	0	14.644531	14.663086
0.15558958	0.0011855513	0.00069730339	0	5306.623	0	14.744141	14.762695
0.15944242	0.00065301359	0.00083452684	0	5407.1953	0	14.84375	14.862305
0.16208887	0.0013268739	0.00089173956	0	5510.3149	0	14.943359	14.961914
0.16553164	0.0012044311	0.00061159482	0	5611.2373	0	15.042969	15.061523
0.16927958	0.00077679753	0.0007065846	0	5711.7358	0	15.142578	15.161133
0.1726675	0.00070919096	0.00095937721	0	5812.3511	0	15.242188	15.260742
0.17550945	0.001187548	0.00088064733	0	5901.9282	0	15.341797	15.360352
0.17846823	0.00154908	0.00094493665	0	5982.7881	0	15.441406	15.459961
0.18187046	0.0014671683	0.00092502561	0	6076.8628	0	15.541016	15.55957
0.18506765	0.0015902817	0.00090681534	0	6186.2593	0	15.640625	15.65918
0.18971205	0.00026620924	0.00075072749	0	6258.625	0	15.740234	15.758789
0.19304037	0.00025819242	0.00091451767	0	6356.6123	0	15.839844	15.858398
0.19627333	0.00034554303	0.00083184277	0	6449.8364	0	15.939453	15.958008
0.20000696	-6.7770481e-05	0.0010124844	0	6535.3643	0	16.039063	16.057617
0.20273685	0.00052264333	0.0010008989	0	6613.0083	0	16.138672	16.157227
0.20544291	0.0011369139	0.00094884163	0	6690.8423	0	16.238281	16.256836
0.20853758	0.0013625473	0.00097528065	0	6774.4517	0	16.337891	16.356445
0.21170139	0.0015190542	0.0010563639	0	6882.2007	0	16.4375	16.456055
0.21545649	0.0010842681	0.00099490536	0	6982.3091	0	16.537109	16.555664
0.21929264	0.00056841969	0.00097692467	0	7050.127	0	16.636719	16.655273
0.22245169	0.00072969496	0.0010370066	0	7119.7847	0	16.736328	16.754883
0.2259469	0.00055478513	0.0011726418	0	7194.8862	0	16.835938	16.854492
0.22937775	0.00044426322	0.0012138302	0	7265.2612	0	16.935547	16.954102
0.23314476	-2.4437904e-06	0.0011015865	0	7334.8286	0	17.035156	17.053711
0.23516178	0.0013008416	0.001130507	0	7407.6074	0	17.134766	17.15332
0.23834467	0.001438275	0.0012231143	0	7492.9141	0	17.234375	17.25293
0.24268627	0.00041697919	0.001303176	0	7597.7681	0	17.333984	17.352539
0.2461195	0.0003040731	0.0012665191	0	7689.8608	0	17.433594	17.452148
0.24992704	-0.00018316507	0.0011714771	0	7773.3101	0	17.533203	17.551758
0.25245905	0.00060513616	0.0012455683	0	7849.4932	0	17.632813	17.651367
0.25625706	0.00012743473	0.0012920318	0	7922.4326	0	17.732422	17.750977
0.25855541	0.001149416	0.0013623248	0	7997.165	0	17.832031	17.850586
0.2621913	0.00083383918	0.0013762962	0	8082.4917	0	17.931641	17.950195
0.26523113	0.0011143088	0.0012610438	0	8169.959	0	18.03125	18.049805
0.26926517	0.00040057302	0.001276212	0	8268.9648	0	18.130859	18.149414
0.27258158	0.00040447712	0.001364555	0	8358.3184	0	18.230469	18.249023
0.27559757	0.00070881844	0.0013969609	0	8443.167	0	18.330078	18.348633
0.27880192	0.00082477927	0.0013079989	0	8528.2305	0	18.429688	18.448242
0.28233051	0.00061649084	0.0014260309	0	8620.6758	0	18.529297	18.547852
0.28557301	0.0006943047	0.0013408503	0	8713.6514	0	18.628906	18.647461
0.28982878	-0.00024113059	0.001429718	0	8805.501	0	18.728516	18.74707
0.29238939	0.00051856041	0.0013142963	0	8890.6582	0	18.828125	18.84668
0.29558659	0.0006416738	0.0013697853	0	8969.7773	0	18.927734	18.946289
0.29863834	0.00091022253	0.0013813584	0	9047.1035	0	19.027344	19.045898
0.3018856	0.00098326802	0.0013617763	0	9129.3467	0	19.126953	19.145508
0.305233	0.00095620751	0.001603489	0	9214.5723	0	19.226563	19.245117
0.30827284	0.0012366772	0.0015027869	0	9313.1309	0	19.326172	19.344727
0.31204224	0.00078758597	0.0015740064	0	9409.5449	0	19.425781	19.444336
0.31624079	-9.0658665e-05	0.0015735266	0	9497.1094	0	19.525391	19.543945
0.31863928	0.00083115697	0.0016094894	0	9579.1514	0	19.625	19.643555
0.32180071	0.00099006295	0.001638911	0	9662.4922	0	19.724609	19.743164
0.32534599	0.00076508522	0.0016120088	0	9741.3721	0	19.824219	19.842773
0.3292346	0.00019678473	0.0017032115	0	9825.0938	0	19.923828	19.942383
0.3311491	0.0016025901	0.0015377089	0	9907.4414	0	20.023438	20.041992
0.33575058	0.00032141805	0.0017402035	0	10012.532	0	20.123047	20.141602
0.3400445	-0.00065216422	0.0016509516	0	10113.754	0	20.222656	20.241211
