MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A,,,,,,,,,
,,,,,,,,,
Data Acquisition,,,,,,Time:,409.35938,s,1/20/2017 16:53
Axial Displacement,Axial Displacement Error,Axial Force,Axial Force Abs. Error,Running Time,Time,,,,
mm,mm,N,N,s,s,,,,
-2.1370327,0.001611471,-520.32501,0,65.501953,65.523438,,,,
-2.1366227,0.000200272,-517.08636,0,66.001953,66.023438,,,,
-2.1377683,0.000335932,-529.4823,0,66.501953,66.523438,,,,
-2.1385777,0.0001266,-539.00684,0,67.001953,67.023438,,,,
-2.1397781,0.000299215,-547.13745,0,67.501953,67.523438,,,,
-2.1405065,-9.30E-06,-552.89929,0,68.001953,68.023438,,,,
-2.1413851,-0.000176191,-557.19476,0,68.501953,68.523438,,,,
-2.1421587,-0.000457048,-560.29388,0,69.001953,69.023438,,,,
-2.1432936,-0.000385523,-572.0448,0,69.501953,69.523438,,,,
-2.1437728,-0.00097847,-577.70917,0,70.001953,70.023438,,,,
-2.144345,-0.001487494,-583.54333,0,70.501953,70.523438,,,,
-2.1457779,-0.001144648,-593.93335,0,71.001953,71.023438,,,,
-2.1467721,-0.001249313,-601.0589,0,71.501953,71.523438,,,,
-2.1479416,-0.001187801,-609.43976,0,72.001953,72.023438,,,,
-2.1490085,-0.001237631,-618.8783,0,72.501953,72.523438,,,,
-2.1502936,-0.001078129,-626.30603,0,73.001953,73.023438,,,,
-2.1524036,-0.000102758,-641.56958,0,73.501953,73.523438,,,,
-2.1528208,-0.000828743,-643.13379,0,74.001953,74.023438,,,,
-2.1545243,-0.000277519,-665.28448,0,74.501953,74.523438,,,,
-2.156086,0.000122786,-678.40625,0,75.001953,75.023438,,,,
-2.1570599,-7.32E-05,-683.74341,0,75.501953,75.523438,,,,
-2.1580327,-0.000279427,-688.81433,0,76.001953,76.023438,,,,
-2.1591592,-0.0003407,-696.62885,0,76.501953,76.523438,,,,
-2.1603405,-0.000355959,-705.66772,0,77.001953,77.023438,,,,
-2.1606219,-0.001280069,-714.63629,0,77.501953,77.523438,,,,
-2.1625197,-0.000596523,-724.47394,0,78.001953,78.023438,,,,
-2.1634507,-0.000888586,-735.53094,0,78.501953,78.523438,,,,
-2.165792,0.000220537,-750.75348,0,79.001953,79.023438,,,,
-2.1675599,0.000747442,-763.51434,0,79.501953,79.523438,,,,
-2.1686685,0.000606298,-776.74054,0,80.001953,80.023438,,,,
-2.1691883,-0.000132561,-781.97034,0,80.501953,80.523438,,,,
-2.1699476,-0.000640631,-788.64728,0,81.001953,81.023438,,,,
-2.1716464,-0.000218391,-801.11743,0,81.501953,81.523438,,,,
-2.1731532,3.34E-06,-815.42645,0,82.001953,82.023438,,,,
-2.1739185,-0.000525236,-822.40674,0,82.501953,82.523438,,,,
-2.1758044,5.77E-05,-832.94037,0,83.001953,83.023438,,,,
-2.1764863,-0.000572205,-843.85492,0,83.501953,83.523438,,,,
-2.1786594,0.000280619,-861.42438,0,84.001953,84.023438,,,,
-2.1797013,-6.91E-06,-869.66998,0,84.501953,84.523438,,,,
-2.1806931,-0.000353336,-883.61273,0,85.001953,85.023438,,,,
-2.1823633,-3.03E-05,-898.84644,0,85.501953,85.523438,,,,
-2.18449,0.000740528,-906.28174,0,86.001953,86.023438,,,,
-2.1857369,0.000622988,-917.30261,0,86.501953,86.523438,,,,
-2.186054,-0.000433445,-922.97925,0,87.001953,87.023438,,,,
-2.1873367,-0.000533104,-935.58514,0,87.501953,87.523438,,,,
-2.188623,-0.00063777,-951.63312,0,88.001953,88.023438,,,,
-2.1908426,0.000181913,-961.72229,0,88.501953,88.523438,,,,
-2.1913004,-0.000769138,-971.90631,0,89.001953,89.023438,,,,
-2.1927202,-0.000766754,-984.80176,0,89.501953,89.523438,,,,
-2.1942568,-0.000656605,-998.45392,0,90.001953,90.023438,,,,
-2.1961594,-0.000189066,-1009.5699,0,90.501953,90.523438,,,,
-2.198689,0.000896692,-1031.8986,0,91.001953,91.023438,,,,
-2.2004938,0.001248837,-1050.339,0,91.501953,91.523438,,,,
-2.201736,0.001029491,-1066.1102,0,92.001953,92.023438,,,,
-2.2029829,0.000806093,-1062.5232,0,92.501953,92.523438,,,,
-2.2024024,-0.001253605,-1060.8326,0,93.001953,93.023438,,,,
-2.2048497,-0.000294209,-1087.646,0,93.501953,93.523438,,,,
-2.2069418,0.000301361,-1101.817,0,94.001953,94.023438,,,,
-2.2078061,-0.000339985,-1111.7114,0,94.501953,94.523438,,,,
-2.2094333,-0.000226974,-1120.3773,0,95.001953,95.023438,,,,
-2.2109711,-0.000211954,-1133.5419,0,95.501953,95.523438,,,,
-2.2132254,0.000510454,-1148.7869,0,96.001953,96.023438,,,,
-2.2137535,-0.000501871,-1157.1577,0,96.501953,96.523438,,,,
-2.2156537,-0.000150919,-1165.7419,0,97.001953,97.023438,,,,
-2.2163892,-0.000973463,-1179.1409,0,97.501953,97.523438,,,,
-2.2182488,-0.000680685,-1189.7677,0,98.001953,98.023438,,,,
-2.2199392,-0.000565767,-1206.891,0,98.501953,98.523438,,,,
-2.2216344,-0.000455141,-1221.3793,0,99.001953,99.023438,,,,
-2.2232914,-0.000391006,-1232.2969,0,99.501953,99.523438,,,,
-2.226572,0.001287699,-1268.5476,0,100.00195,100.02344,,,,
-2.2318161,0.004921198,-1316.8202,0,100.50195,100.52344,,,,
