MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A,,,,,,,,,
,,,,,,,,,
Data Acquisition,,,,,,Time:,102.02344,s,12/20/16 13:19
Axial Displacement,Axial Displacement Error,Axial Extensometer,Axial Extensometer Abs. Error,Axial Force,Axial Force Abs. Error,Running Time,Time,,
mm,mm,mm/mm,mm/mm,N,N,s,s,,
1.6829062,0.001212835,0.006015839,0,34341.223,0,60.564453,60.583008,,
1.6877842,-0.000344872,0.006134487,0,34384.211,0,60.664063,60.682617,,
1.6907454,1.42E-05,0.006208534,0,34419.414,0,60.763672,60.782227,,
1.6946745,-0.000594616,0.006057483,0,34457.609,0,60.863281,60.881836,,
1.6973615,3.87E-05,0.006144234,0,34489.117,0,60.962891,60.981445,,
1.7002869,0.000433683,0.006163397,0,34522.703,0,61.0625,61.081055,,
1.7030072,0.001033664,0.006033449,0,34550.996,0,61.162109,61.180664,,
1.7066836,0.000677466,0.006250169,0,34580.875,0,61.261719,61.280273,,
1.7098475,0.000833988,0.006195239,0,34620.773,0,61.361328,61.379883,,
1.7136788,0.000322938,0.006039045,0,34658.742,0,61.460938,61.479492,,
1.7167091,0.000612974,0.006240937,0,34695.77,0,61.560547,61.579102,,
1.7199111,0.000731349,0.006058826,0,34731.125,0,61.660156,61.678711,,
1.7237139,0.00024879,0.006165471,0,34765.523,0,61.759766,61.77832,,
1.7268682,0.000414848,0.006225283,0,34796.895,0,61.859375,61.87793,,
1.7306066,-3.22E-06,0.00617757,0,34824.258,0,61.958984,61.977539,,
1.7330933,0.000830412,0.006248626,0,34857.688,0,62.058594,62.077148,,
1.7371058,0.000138164,0.006305323,0,34889.91,0,62.158203,62.176758,,
1.7400026,0.000561595,0.006289229,0,34931.914,0,62.257813,62.276367,,
1.744473,-0.000588417,0.006253074,0,34970.102,0,62.357422,62.375977,,
1.7469335,0.00027144,0.006346325,0,35003.453,0,62.457031,62.475586,,
1.7499375,0.000587702,0.006464602,0,35040.797,0,62.556641,62.575195,,
1.7540884,-0.000242829,0.006174356,0,35071.469,0,62.65625,62.674805,,
1.7569995,0.000166297,0.006251801,0,35103.133,0,62.755859,62.774414,,
1.7602777,0.000208378,0.006386189,0,35133.598,0,62.855469,62.874023,,
1.7637277,7.88E-05,0.006328672,0,35164.379,0,62.955078,62.973633,,
1.7669296,0.000197172,0.00633559,0,35197.73,0,63.054688,63.073242,,
1.7712069,-0.000759721,0.00622045,0,35229.84,0,63.154297,63.172852,,
1.7740297,-0.00026238,0.006327325,0,35261.496,0,63.253906,63.272461,,
1.7767215,0.000366211,0.006189394,0,35294.141,0,63.353516,63.37207,,
1.7806864,-0.000278354,0.006346949,0,35340.676,0,63.453125,63.47168,,
1.784184,-0.000455618,0.006387282,0,35380.781,0,63.552734,63.571289,,
1.7883468,-0.00129807,0.006378089,0,35413.25,0,63.652344,63.670898,,
1.7905378,-0.00016892,0.006373207,0,35444.391,0,63.751953,63.770508,,
1.7942858,-0.000596523,0.006321746,0,35470.566,0,63.851563,63.870117,,
1.7973328,-0.000323176,0.006213055,0,35495.121,0,63.951172,63.969727,,
1.8005157,-0.000185728,0.006241921,0,35516.039,0,64.050781,64.069336,,
1.803782,-0.000131726,0.006317943,0,35544.211,0,64.150391,64.168945,,
1.8072319,-0.000261426,0.006310002,0,35580.621,0,64.25,64.268555,,
1.8097878,0.000503063,0.006203865,0,35610.887,0,64.349609,64.368164,,
1.813004,0.000607133,0.006322479,0,35638.219,0,64.449219,64.467773,,
1.8164563,0.000475168,0.006248593,0,35667.082,0,64.548828,64.567383,,
1.8204117,-0.00015986,0.006493249,0,35701.32,0,64.648438,64.666992,,
1.8232727,0.000299335,0.006426932,0,35741.113,0,64.748047,64.766602,,
1.8269038,-1.14E-05,0.006228576,0,35772.195,0,64.847656,64.866211,,
1.8298721,0.000340581,0.006283605,0,35803.598,0,64.947266,64.96582,,
1.8331957,0.000337362,0.006368164,0,35835.738,0,65.046875,65.06543,,
1.8373227,-0.000469327,0.006419516,0,35865.219,0,65.146484,65.165039,,
1.8393588,0.000814795,0.006279799,0,35895.285,0,65.246094,65.264648,,
1.8427944,0.00069952,0.006264888,0,35928.664,0,65.345703,65.364258,,
1.8472171,-0.000402808,0.006443748,0,35964.762,0,65.445313,65.463867,,
1.8498039,0.000330687,0.006399944,0,35998.23,0,65.544922,65.563477,,
1.8532395,0.000215411,0.006398186,0,36030.566,0,65.644531,65.663086,,
1.8565917,0.000183463,0.006384247,0,36064.422,0,65.744141,65.762695,,
1.8594313,0.000664234,0.006437806,0,36096.066,0,65.84375,65.862305,,
1.8626237,0.000792146,0.006225588,0,36127.891,0,65.943359,65.961914,,
1.8662691,0.000467062,0.006350769,0,36162.328,0,66.042969,66.061523,,
1.8702674,-0.000210881,0.006368276,0,36190.832,0,66.142578,66.161133,,
1.8728614,0.000515342,0.006487893,0,36222.016,0,66.242188,66.260742,,
